Call Sign,Active PI Code,Frequency,Facility ID,City of License,State,Location,Date Allocated,Edit
WZDG,AF97,88.5,88327,SCOTTS HILL,NC,"34° 30' 7.60"" N 78° 4' 57.00"" W",11/14/2018,Report Change
KXTH,4EB1,89.1,85076,SEMINOLE,OK,"35° 12' 53.30"" N 96° 44' 27.10"" W",11/14/2018,Report Change
KHRQ,2446,94.9,89128,BAKER,CA,"35° 26' 9.90"" N 115° 55' 28.00"" W",8/11/2018,Report Change
KEZQ,1D2A,92.9,23306,WEST YELLOWSTONE,MT,"44° 33' 40.70"" N 111° 26' 34.80"" W",8/11/2018,Report Change
WPPR,7DDB,88.3,23949,DEMOREST,GA,"34° 31' 24.40"" N 83° 40' 45.60"" W",11/14/2018,Report Change
WZCO,96EE,89.9,175138,CHADBOURN,NC,"34° 32' 17.60"" N 78° 42' 35.10"" W",11/14/2018,Report Change
KRBV-LP,3D13,95.1,196337,BUNKERVILLE,NV,"36° 46' 23.00"" N 114° 7' 45.90"" W",10/31/2018,Report Change
WJEL,6CDF,89.3,41316,INDIANAPOLIS,IN,"39° 54' 34.10"" N 86° 7' 38.90"" W",11/14/2018,Report Change
WAVV,56DF,101.1,1154,NAPLES PARK,FL,"26° 10' 59.30"" N 81° 34' 29.30"" W",8/11/2018,Report Change
KSMM-FM,A4CC,101.5,37120,LIBERAL,KS,"37° 3' 20.10"" N 100° 48' 41.60"" W",8/11/2018,Report Change
WLTB,73A3,101.7,71400,JOHNSON CITY,NY,"42° 3' 22.30"" N 75° 56' 37.70"" W",8/11/2018,Report Change
KONN-LP,3657,100.1,196306,KANSAS CITY,MO,"39° 5' 34.10"" N 94° 33' 48.20"" W",10/31/2018,Report Change
KRME-LP,3E20,98.9,195807,COLLEGE STATION,TX,"30° 40' 36.70"" N 96° 22' 9.80"" W",10/31/2018,Report Change
WCID,5AC3,90.9,176743,LAPORTE,PA,"41° 30' 7.20"" N 76° 23' 32.70"" W",11/14/2018,Report Change
WIOA,6B34,99.9,8151,SAN JUAN,PR,"18° 16' 30.00"" N 66° 5' 35.90"" W",10/15/2019,Report Change
WMRL,761D,89.9,30177,LEXINGTON,VA,"37° 47' 25.40"" N 79° 26' 4.10"" W",11/14/2018,Report Change
KIFX,25B9,98.5,20023,NAPLES,UT,"40° 32' 15.80"" N 109° 41' 59.50"" W",8/11/2018,Report Change
WSSH,860B,89.7,176846,LISBON,NH,"44° 13' 11.20"" N 71° 52' 5.30"" W",11/14/2018,Report Change
WCXX,5C5D,102.3,65498,MADAWASKA,ME,"47° 19' 51.10"" N 68° 20' 24.20"" W",8/11/2018,Report Change
KPTE,398E,92.9,164121,BAYFIELD,CO,"37° 20' 21.00"" N 107° 49' 27.20"" W",8/11/2018,Report Change
WEZV,61D7,105.9,49986,NORTH MYRTLE BEACH,SC,"33° 51' 16.60"" N 78° 42' 59.00"" W",8/11/2018,Report Change
KMKO-FM,A3C2,95.7,164294,LAKE CRYSTAL,MN,"44° 3' 5.90"" N 94° 17' 59.90"" W",8/11/2018,Report Change
WDTZ-LP,5E9B,98.1,192655,DELHI TOWNSHIP,OH,"39° 5' 45.60"" N 84° 36' 16.10"" W",10/31/2018,Report Change
KXPM-LP,4E4E,100.3,192789,PERHAM,MN,"46° 35' 38.10"" N 95° 34' 32.20"" W",10/31/2018,Report Change
KHVT,24B1,91.5,89111,BLOOMINGTON,TX,"29° 0' 4.90"" N 97° 0' 6.00"" W",11/14/2018,Report Change
KFFB,1DB7,106.1,57192,FAIRFIELD BAY,AR,"35° 44' 0.20"" N 92° 15' 37.50"" W",8/11/2018,Report Change
KSII,A460,93.1,36949,EL PASO,TX,"31° 47' 46.30"" N 106° 28' 58.90"" W",8/11/2018,Report Change
KKGU,2B18,90.1,174709,AGANA,GU,"13° 29' 22.00"" N 144° 49' 46.00"" E",11/14/2018,Report Change
KLUW,2F2A,88.1,85971,EAST WENATCHEE,WA,"47° 22' 51.40"" N 120° 17' 20.20"" W",11/14/2018,Report Change
WDNS,5DF8,93.3,15258,BOWLING GREEN,KY,"36° 56' 39.10"" N 86° 15' 10.90"" W",8/11/2018,Report Change
WMIR,7539,93.9,17485,CONWAY,SC,"33° 50' 7.60"" N 78° 52' 5.00"" W",8/11/2018,Report Change
WTPR-FM,886B,101.7,12496,MCKINNON,TN,"36° 24' 39.20"" N 87° 58' 6.10"" W",8/11/2018,Report Change
WJKD,6D73,99.7,70001,VERO BEACH,FL,"27° 44' 8.10"" N 80° 27' 26.20"" W",8/11/2018,Report Change
KLUN,2F21,103.1,2243,PASO ROBLES,CA,"35° 38' 44.80"" N 120° 44' 19.60"" W",8/11/2018,Report Change
WMES-LP,74D2,107.7,133803,ALTOONA,PA,"40° 31' 3.20"" N 78° 23' 40.00"" W",10/31/2018,Report Change
