Call Sign,Active PI Code,Frequency,Facility ID,City of License,State,Location,Date Allocated,Edit
WGEO-LP,64F6,105.7,131456,GEORGETOWN,SC,"33° 22' 5.60"" N 79° 17' 6.10"" W",10/31/2018,Report Change
KCCD,157F,90.3,42951,MOORHEAD,MN,"46° 45' 34.90"" N 96° 36' 28.30"" W",11/14/2018,Report Change
KRPS,3E7C,89.9,52740,PITTSBURG,KS,"37° 18' 44.10"" N 94° 48' 58.80"" W",11/14/2018,Report Change
WVMM,8D60,90.7,41312,GRANTHAM,PA,"40° 9' 34.30"" N 76° 58' 58.90"" W",11/14/2018,Report Change
WELX,A66D,101.5,29219,ISABELA,PR,"18° 26' 28.80"" N 67° 8' 48.60"" W",8/11/2018,Report Change
WCMW-FM,5B3E,103.9,9923,HARBOR SPRINGS,MI,"45° 30' 8.00"" N 85° 1' 44.20"" W",11/14/2018,Report Change
KQEI-FM,3AB0,89.3,20791,NORTH HIGHLANDS,CA,"38° 42' 37.60"" N 121° 28' 57.80"" W",11/14/2018,Report Change
WJVK,6E98,91.7,81648,OWENSBORO,KY,"37° 44' 48.10"" N 87° 6' 57.90"" W",11/14/2018,Report Change
KRKQ,3DF8,95.5,166042,MOUNTAIN VILLAGE,CO,"37° 59' 29.00"" N 107° 58' 23.20"" W",8/11/2018,Report Change
KLBN,2D33,101.9,29296,FRESNO,CA,"37° 4' 21.80"" N 119° 25' 56.50"" W",8/11/2018,Report Change
KTOO,43A6,104.3,8650,JUNEAU,AK,"58° 18' 4.70"" N 134° 25' 14.20"" W",11/14/2018,Report Change
WTSS,88BA,102.5,34382,BUFFALO,NY,"42° 39' 33.20"" N 78° 37' 32.10"" W",8/11/2018,Report Change
WKCY-FM,6F5C,104.3,41811,HARRISONBURG,VA,"38° 23' 47.40"" N 79° 8' 27.10"" W",8/11/2018,Report Change
WFUG-LP,63EA,107.7,196279,LEHIGH ACRES,FL,"26° 36' 34.90"" N 81° 36' 15.90"" W",10/31/2018,Report Change
KUNA-FM,4622,96.7,52182,LA QUINTA,CA,"33° 48' 8.10"" N 116° 13' 33.00"" W",8/11/2018,Report Change
KDYN-FM,1A69,92.7,22057,COAL HILL,AR,"35° 29' 9.40"" N 93° 53' 30.20"" W",8/11/2018,Report Change
WDWC,5ED2,90.7,176582,MARTINS FERRY,OH,"40° 4' 8.20"" N 80° 50' 10.20"" W",11/14/2018,Report Change
KHDR,22DB,96.9,89344,LENWOOD,CA,"34° 51' 21.90"" N 117° 3' 2.10"" W",8/11/2018,Report Change
KARL,11C5,105.1,35129,TRACY,MN,"44° 19' 31.90"" N 95° 52' 20.10"" W",8/11/2018,Report Change
WORT,7B6D,89.9,3596,MADISON,WI,"43° 3' 3.00"" N 89° 29' 13.40"" W",11/14/2018,Report Change
KWDR,4A77,93.5,166057,ROYAL CITY,WA,"46° 48' 24.40"" N 119° 33' 24.10"" W",8/11/2018,Report Change
WHVY,695E,89.5,171800,COSHOCTON,OH,"40° 18' 17.20"" N 81° 44' 3.40"" W",11/14/2018,Report Change
WOUB-FM,7BA9,91.3,50149,ATHENS,OH,"39° 18' 52.30"" N 82° 8' 58.50"" W",11/14/2018,Report Change
WGLR-FM,65AF,97.7,33052,LANCASTER,WI,"42° 51' 48.00"" N 90° 42' 11.50"" W",8/11/2018,Report Change
KHTP,2479,103.7,18513,TACOMA,WA,"47° 30' 13.40"" N 121° 58' 33.40"" W",8/11/2018,Report Change
KCMA-LP,1680,92.1,134141,PAYSON,AZ,"34° 13' 47.10"" N 111° 20' 49.40"" W",10/31/2018,Report Change
KZNK,5360,90.1,174740,BREWSTER,KS,"39° 14' 31.00"" N 101° 21' 39.60"" W",11/14/2018,Report Change
WRWW-LP,83DE,92.3,192819,LOWELL,MI,"42° 56' 30.10"" N 85° 20' 3.10"" W",10/31/2018,Report Change
WVRN,8DE3,88.9,91400,WITTENBERG,WI,"44° 57' 53.90"" N 89° 0' 18.40"" W",11/14/2018,Report Change
WBZR-FM,59E7,105.9,51140,ATMORE,AL,"31° 2' 14.70"" N 87° 29' 41.90"" W",8/11/2018,Report Change
WIFF,6A4F,90.1,2868,WINDSOR,NY,"42° 3' 10.20"" N 75° 42' 5.60"" W",11/14/2018,Report Change
WTCR-FM,8719,103.3,7983,HUNTINGTON,WV,"38° 25' 11.30"" N 82° 24' 5.50"" W",8/11/2018,Report Change
WRIO,826A,101.1,20591,PONCE,PR,"18° 1' 32.80"" N 66° 39' 12.60"" W",8/11/2018,Report Change
WWJP-LP,8FB9,101.7,131888,RICE LAKE,WI,"45° 27' 49.80"" N 91° 43' 58.60"" W",10/31/2018,Report Change
KKDV,2ACB,92.1,36032,WALNUT CREEK,CA,"37° 54' 1.70"" N 122° 5' 10.80"" W",8/11/2018,Report Change
WPHI-FM,7D02,103.9,30572,JENKINTOWN,PA,"40° 2' 30.00"" N 75° 14' 10.00"" W",8/11/2018,Report Change
KHWA,24B8,102.3,68152,WEED,CA,"41° 21' 29.50"" N 122° 12' 25.00"" W",8/21/2019,Report Change
WTTS,88D4,92.3,59141,TRAFALGAR,IN,"39° 24' 27.20"" N 86° 8' 52.00"" W",8/11/2018,Report Change
KELD-FM,1BB1,106.5,61239,HAMPTON,AR,"33° 32' 23.40"" N 92° 34' 59.60"" W",8/11/2018,Report Change
WMRY,762A,103.5,6130,CROZET,VA,"37° 57' 2.50"" N 78° 43' 45.00"" W",11/14/2018,Report Change
KHIJ-LP,2355,106.3,194701,OTTUMWA,IA,"41° 0' 26.80"" N 92° 21' 32.60"" W",10/31/2018,Report Change
KHDX,22E1,93.1,26912,CONWAY,AR,"35° 6' 1.30"" N 92° 26' 29.50"" W",11/14/2018,Report Change
KOMO-FM1,363E,97.7,190282,TUKWILA,WA,"47° 27' 51.30"" N 122° 15' 32.40"" W",8/11/2018,Report Change
WPEF,7CB1,91.5,171892,KENTWOOD,LA,"31° 2' 2.60"" N 90° 25' 27.30"" W",11/14/2018,Report Change
WIOG,6B3A,102.5,22675,BAY CITY,MI,"43° 28' 24.10"" N 83° 50' 39.90"" W",8/11/2018,Report Change
KTCY,4278,105.3,189553,MENARD,TX,"30° 54' 40.60"" N 99° 45' 51.20"" W",8/11/2018,Report Change
KOUA,AF37,91.9,173673,ADA,OK,"34° 42' 31.00"" N 96° 44' 25.00"" W",11/14/2018,Report Change
KLWL,2F53,88.1,176981,CHILLICOTHE,MO,"39° 48' 54.10"" N 93° 35' 18.80"" W",11/14/2018,Report Change
WLVS-FM,73E8,106.5,87463,CLIFTON,TN,"35° 28' 41.30"" N 88° 6' 36.10"" W",8/11/2018,Report Change
WRDI,81E2,95.7,49174,NAPPANEE,IN,"41° 26' 58.20"" N 86° 4' 30.00"" W",8/11/2018,Report Change
WQVE,810E,101.7,54704,ALBANY,GA,"31° 37' 15.60"" N 84° 9' 10.70"" W",8/11/2018,Report Change
KKLV,2B9B,107.5,69553,KAYSVILLE,UT,"40° 39' 34.80"" N 112° 12' 7.80"" W",11/14/2018,Report Change
KWDQ,4A76,102.3,11751,WOODWARD,OK,"36° 22' 31.10"" N 99° 28' 32.40"" W",8/11/2018,Report Change
KMIS-FM,A392,103.9,164227,GIDEON,MO,"36° 25' 31.20"" N 89° 41' 29.30"" W",8/11/2018,Report Change
KZBX-LP,5235,92.1,191859,WILLIAMS,AZ,"35° 14' 50.70"" N 112° 11' 35.50"" W",10/31/2018,Report Change
WUMC,8AB2,90.5,82695,ELIZABETHTON,TN,"36° 17' 58.30"" N 82° 17' 27.40"" W",11/14/2018,Report Change
KBNL,1401,89.9,73750,LAREDO,TX,"27° 39' 28.00"" N 99° 35' 11.20"" W",11/14/2018,Report Change
KMYK,322A,93.5,35553,OSAGE BEACH,MO,"38° 9' 52.10"" N 92° 36' 12.70"" W",8/11/2018,Report Change
WCTB,5BDF,93.5,46353,FAIRFIELD,ME,"44° 44' 42.20"" N 69° 41' 30.10"" W",8/11/2018,Report Change
WEEM-FM,5FAC,91.7,61140,PENDLETON,IN,"39° 59' 52.10"" N 85° 44' 6.90"" W",11/14/2018,Report Change
WJTK,6E64,96.5,165943,COLUMBIA CITY,FL,"30° 9' 20.80"" N 82° 38' 13.40"" W",8/11/2018,Report Change
WPWX,7E97,92.3,17304,HAMMOND,IN,"41° 37' 50.10"" N 87° 31' 40.20"" W",8/11/2018,Report Change
WHHZ,67F3,100.5,48703,NEWBERRY,FL,"29° 36' 32.00"" N 82° 50' 58.10"" W",8/11/2018,Report Change
KSRP,4151,89.1,176783,DODGE CITY,KS,"37° 43' 17.10"" N 99° 57' 20.80"" W",11/14/2018,Report Change
KEKB,1B95,99.9,30431,FRUITA,CO,"39° 3' 55.90"" N 108° 44' 54.40"" W",8/11/2018,Report Change
KSRS,4154,91.5,62158,ROSEBURG,OR,"43° 12' 21.40"" N 123° 21' 52.20"" W",11/14/2018,Report Change
KXJO,4DB4,92.1,164128,ST. MARIES,ID,"47° 20' 8.10"" N 116° 34' 21.80"" W",11/14/2018,Report Change
KIVE-LP,2746,92.5,135537,AURORA,NE,"40° 52' 18.00"" N 98° 0' 10.20"" W",10/31/2018,Report Change
KFTZ-FM1,1F3B,103.3,18118,POCATELLO,ID,"42° 50' 54.60"" N 112° 26' 48.90"" W",8/11/2018,Report Change
KBEJ-LP,1315,104.1,193973,BEAUMONT,TX,"30° 1' 45.90"" N 94° 3' 49.50"" W",10/31/2018,Report Change
KMJV,A3AF,106.3,54968,SOLEDAD,CA,"36° 16' 26.80"" N 121° 16' 18.70"" W",8/11/2018,Report Change
KXCP-LP,4CFF,97.1,196880,PALM DESERT,CA,"33° 47' 50.40"" N 116° 21' 1.20"" W",10/31/2018,Report Change
WZGO,9756,91.1,77845,AURORA,NC,"35° 18' 9.60"" N 76° 33' 58.70"" W",11/14/2018,Report Change
KUTM,46CA,92.7,189478,KERMAN,CA,"36° 21' 20.80"" N 120° 27' 44.50"" W",8/11/2018,Report Change
WRPC-LP,8314,103.7,125841,HAMPTON,VA,"37° 5' 7.50"" N 76° 25' 35.80"" W",10/31/2018,Report Change
WWGH-LP,8F63,107.1,193826,MARION,OH,"40° 34' 55.80"" N 83° 7' 38.90"" W",10/31/2018,Report Change
KPLO-FM,38C8,94.5,40635,RELIANCE,SD,"43° 54' 27.00"" N 99° 41' 47.40"" W",8/11/2018,Report Change
WFCV-FM,6225,100.1,71464,BLUFFTON,IN,"40° 52' 10.20"" N 85° 10' 19.90"" W",8/11/2018,Report Change
WBYX,59D3,88.7,22181,STROUDSBURG,PA,"41° 2' 40.30"" N 75° 22' 43.60"" W",11/14/2018,Report Change
KGLL,2101,88.1,122432,GILLETTE,WY,"44° 13' 49.90"" N 105° 27' 47.00"" W",11/14/2018,Report Change
KEEP,1B07,103.1,30106,BANDERA,TX,"29° 51' 21.80"" N 99° 5' 27.10"" W",8/11/2018,Report Change
KHTN,2477,104.7,20334,PLANADA,CA,"37° 31' 59.80"" N 120° 1' 51.60"" W",8/11/2018,Report Change
WEHN,5FFB,96.9,18218,EAST HAMPTON,NY,"40° 59' 37.40"" N 72° 10' 17.30"" W",8/11/2018,Report Change
WFDZ,6243,93.5,170183,PERRY,FL,"30° 5' 17.80"" N 83° 29' 45.50"" W",8/11/2018,Report Change
WIUP-FM,6BDF,90.1,28604,INDIANA,PA,"40° 36' 32.50"" N 79° 10' 0.00"" W",11/14/2018,Report Change
WCQL,5B9B,95.9,36767,QUEENSBURY,NY,"43° 25' 12.20"" N 73° 45' 35.40"" W",8/11/2018,Report Change
WTPJ-LP,8863,102.3,196923,YORK,SC,"34° 59' 49.50"" N 81° 15' 8.30"" W",10/31/2018,Report Change
WERF-LP,A6F7,105.7,134753,GAINESVILLE,FL,"29° 41' 10.80"" N 82° 22' 39.30"" W",10/31/2018,Report Change
WZEE,1718,104.1,41980,MADISON,WI,"43° 3' 3.00"" N 89° 29' 13.40"" W",5/3/2020,Report Change
WOBC-FM,79BC,91.5,49954,OBERLIN,OH,"41° 17' 38.10"" N 82° 13' 19.50"" W",11/14/2018,Report Change
WTDY-FM,873A,96.5,51434,PHILADELPHIA,PA,"40° 2' 30.40"" N 75° 14' 9.60"" W",8/11/2018,Report Change
KJTZ-LP,29CB,96.1,195391,ALAMEDA,CA,"37° 45' 48.70"" N 122° 14' 38.80"" W",10/31/2018,Report Change
KSTM,4182,88.9,60467,INDIANOLA,IA,"41° 21' 48.90"" N 93° 33' 37.70"" W",11/14/2018,Report Change
KNSB,3429,91.1,83540,BETTENDORF,IA,"41° 32' 43.90"" N 90° 22' 24.10"" W",11/14/2018,Report Change
KJKL,28D3,89.1,94213,JAMESTOWN,ND,"46° 50' 4.90"" N 98° 41' 32.40"" W",11/14/2018,Report Change
KMSC,3186,92.9,43807,SIOUX CITY,IA,"42° 28' 27.90"" N 96° 21' 35.10"" W",11/14/2018,Report Change
KDLB,190B,94.5,49094,FRAZEE,MN,"46° 48' 24.00"" N 95° 46' 24.00"" W",8/11/2018,Report Change
WVSH,8DF7,91.9,28134,HUNTINGTON,IN,"40° 53' 32.10"" N 85° 30' 37.90"" W",11/14/2018,Report Change
WBQE,58F0,93.7,84096,MILBRIDGE,ME,"44° 38' 33.30"" N 68° 10' 16.10"" W",11/14/2018,Report Change
WVMP,8D63,101.5,9047,VINTON,VA,"37° 15' 1.50"" N 79° 55' 59.10"" W",8/11/2018,Report Change
WYVM,9636,90.9,176342,SHEBOYGAN,WI,"43° 51' 42.10"" N 87° 46' 20.80"" W",11/14/2018,Report Change
WACG-FM,54E2,90.7,23922,AUGUSTA,GA,"33° 24' 18.50"" N 81° 50' 14.40"" W",11/14/2018,Report Change
WXXQ,93CA,98.5,63137,FREEPORT,IL,"42° 16' 48.10"" N 89° 19' 59.40"" W",8/11/2018,Report Change
WVDS,8C7C,89.5,71659,PETERSBURG,WV,"39° 11' 6.20"" N 79° 18' 14.50"" W",11/14/2018,Report Change
WZBL,96D1,88.1,176010,BARNEGAT LIGHT,NJ,"39° 45' 3.40"" N 74° 7' 9.40"" W",11/14/2018,Report Change
KESR,1C75,107.1,82687,SHASTA LAKE CITY,CA,"40° 39' 5.50"" N 122° 31' 36.00"" W",8/11/2018,Report Change
KORL-FM,36BD,101.1,36242,WAIANAE,HI,"21° 23' 45.00"" N 158° 5' 58.00"" W",8/11/2018,Report Change
WMYQ,76D8,92.7,198749,MOORHEAD,MS,"33° 30' 8.40"" N 90° 20' 20.30"" W",8/11/2018,Report Change
KJSB,2999,88.3,106689,JONESBORO,AR,"35° 48' 36.30"" N 90° 48' 45.40"" W",11/14/2018,Report Change
KOFM,3586,103.1,25889,ENID,OK,"36° 26' 13.10"" N 97° 55' 17.20"" W",8/11/2018,Report Change
KBSO,1486,94.7,55679,CORPUS CHRISTI,TX,"27° 49' 51.00"" N 97° 32' 34.90"" W",8/11/2018,Report Change
WXXJ,93C3,106.5,28894,PONTE VEDRA BEACH,FL,"30° 16' 35.90"" N 81° 33' 57.30"" W",8/11/2018,Report Change
WKCD,6F47,90.3,65515,CEDARVILLE,OH,"39° 43' 28.20"" N 84° 15' 17.80"" W",11/14/2018,Report Change
KCNE-FM,169E,91.9,47963,CHADRON,NE,"42° 48' 46.90"" N 103° 0' 23.60"" W",11/14/2018,Report Change
KYGL,A507,106.3,12312,TEXARKANA,AR,"33° 18' 30.40"" N 93° 56' 54.60"" W",8/11/2018,Report Change
WOBN,79C7,97.5,50761,WESTERVILLE,OH,"40° 7' 28.20"" N 82° 56' 5.60"" W",11/14/2018,Report Change
KWSP-LP,4BFB,104.9,135266,KERRVILLE,TX,"30° 3' 51.80"" N 99° 8' 17.10"" W",10/31/2018,Report Change
KXMO-FM,4E02,95.3,84271,OWENSVILLE,MO,"38° 8' 8.20"" N 91° 24' 0.50"" W",10/15/2019,Report Change
KLOZ,2E91,92.7,8676,ELDON,MO,"38° 20' 27.10"" N 92° 35' 33.60"" W",8/11/2018,Report Change
KROM,3E5C,92.9,67071,SAN ANTONIO,TX,"29° 16' 29.80"" N 98° 15' 53.00"" W",8/11/2018,Report Change
WWMJ,A901,95.7,17670,ELLSWORTH,ME,"44° 39' 31.20"" N 68° 36' 18.10"" W",8/11/2018,Report Change
WWET,8F3B,91.7,23921,VALDOSTA,GA,"30° 49' 35.70"" N 83° 16' 39.50"" W",11/14/2018,Report Change
KBQC,1446,88.5,92243,INDEPENDENCE,KS,"37° 3' 11.20"" N 96° 6' 7.90"" W",11/14/2018,Report Change
KEBT,1ABD,96.9,11622,LOST HILLS,CA,"35° 19' 39.80"" N 119° 43' 1.40"" W",8/11/2018,Report Change
WQPU-LP,A882,93.7,195452,WESTBROOKVILLE,NY,"41° 31' 58.00"" N 74° 32' 49.90"" W",10/31/2018,Report Change
WSMP-LP,8577,96.9,192941,MAGEE,MS,"31° 52' 26.50"" N 89° 43' 54.20"" W",10/31/2018,Report Change
WZFJ,9737,104.3,36401,BREEZY POINT,MN,"46° 36' 12.90"" N 94° 15' 5.00"" W",11/14/2018,Report Change
WKOA,A77C,105.3,71064,LAFAYETTE,IN,"40° 30' 12.10"" N 86° 43' 47.00"" W",8/11/2018,Report Change
WPHK,7D04,102.7,5892,BLOUNTSTOWN,FL,"30° 27' 15.70"" N 85° 2' 31.70"" W",8/11/2018,Report Change
WAJQ-FM,55A2,104.3,63862,ALMA,GA,"31° 36' 26.70"" N 82° 32' 45.50"" W",8/11/2018,Report Change
KTTY,4432,105.1,165971,NEW BOSTON,TX,"33° 28' 0.40"" N 94° 27' 48.70"" W",8/11/2018,Report Change
WVSP-FM,8DFF,94.1,19836,YORKTOWN,VA,"37° 12' 33.50"" N 76° 32' 33.80"" W",8/11/2018,Report Change
KTFC,42B0,103.3,17199,SIOUX CITY,IA,"42° 29' 5.50"" N 96° 18' 20.00"" W",11/14/2018,Report Change
WQAI,7EF0,89.5,90293,THOMSON,GA,"33° 44' 32.50"" N 82° 31' 16.50"" W",11/14/2018,Report Change
KTWL,4473,105.3,21204,TODD MISSION,TX,"30° 20' 19.60"" N 95° 55' 44.70"" W",8/11/2018,Report Change
KNWI,3498,107.1,37454,OSCEOLA,IA,"41° 9' 6.00"" N 94° 2' 41.80"" W",11/14/2018,Report Change
WNIE,77D0,89.1,49555,FREEPORT,IL,"42° 18' 45.10"" N 89° 35' 38.40"" W",11/14/2018,Report Change
KMYI,1228,94.1,58821,SAN DIEGO,CA,"32° 50' 20.20"" N 117° 14' 59.10"" W",5/3/2020,Report Change
WGYL,66FB,93.7,58946,VERO BEACH,FL,"27° 36' 5.10"" N 80° 23' 32.10"" W",8/11/2018,Report Change
WCIS-FM,5AD2,105.1,22134,DERUYTER,NY,"42° 46' 58.20"" N 75° 50' 26.60"" W",8/11/2018,Report Change
WIMB,6B01,89.1,172907,MURPHYSBORO,IL,"37° 48' 59.10"" N 89° 15' 59.20"" W",8/11/2018,Report Change
KAYM,127C,90.5,82300,WEATHERFORD,OK,"35° 29' 47.20"" N 98° 44' 11.30"" W",11/14/2018,Report Change
WKHW,6FDC,88.5,91925,HALIFAX,PA,"40° 27' 26.30"" N 76° 54' 11.90"" W",11/14/2018,Report Change
WKSX-FM,A7FB,92.7,18656,JOHNSTON,SC,"33° 45' 19.40"" N 81° 50' 43.30"" W",8/11/2018,Report Change
WWEL,8F33,103.9,20413,LONDON,KY,"37° 8' 30.30"" N 84° 4' 44.80"" W",8/11/2018,Report Change
KJJK-FM,28B8,96.5,50758,FERGUS FALLS,MN,"46° 14' 42.80"" N 95° 58' 47.10"" W",8/11/2018,Report Change
WGMO,65C6,95.3,10529,SPOONER,WI,"45° 40' 27.80"" N 91° 58' 52.60"" W",8/11/2018,Report Change
KMUZ,31D1,88.5,172599,TURNER,OR,"44° 46' 59.40"" N 122° 59' 48.30"" W",11/14/2018,Report Change
KRWN,3F2D,92.5,47096,FARMINGTON,NM,"36° 41' 45.00"" N 108° 13' 25.30"" W",8/11/2018,Report Change
WPMA,7D7C,102.7,77810,BUCKHEAD,GA,"33° 30' 10.50"" N 83° 15' 36.60"" W",11/14/2018,Report Change
WKAR-FM,6F21,90.5,41683,EAST LANSING,MI,"42° 42' 7.10"" N 84° 24' 47.90"" W",11/14/2018,Report Change
KFAC-LP,1D36,105.5,191843,TWISP,WA,"48° 21' 35.50"" N 120° 6' 56.20"" W",10/31/2018,Report Change
KOTO,36F4,91.7,58920,TELLURIDE,CO,"37° 55' 59.00"" N 107° 50' 1.20"" W",11/14/2018,Report Change
WITR,6BC7,89.7,57280,HENRIETTA,NY,"43° 5' 8.20"" N 77° 40' 4.00"" W",11/14/2018,Report Change
KQBO,3A68,107.5,60885,RIO GRANDE CITY,TX,"26° 31' 2.20"" N 98° 39' 8.10"" W",8/11/2018,Report Change
WCRI-FM,5BB2,95.9,67119,BLOCK ISLAND,RI,"41° 10' 28.40"" N 71° 34' 18.20"" W",8/11/2018,Report Change
KVCH,47AF,88.7,172376,HURON,SD,"44° 11' 39.00"" N 98° 19' 6.30"" W",11/14/2018,Report Change
KWWY,4C6C,106.5,166053,SHOSHONI,WY,"43° 26' 15.80"" N 107° 59' 48.30"" W",8/11/2018,Report Change
KTSE-FM,4404,97.1,29542,PATTERSON,CA,"37° 29' 33.70"" N 121° 13' 32.70"" W",8/11/2018,Report Change
KHKC-FM,2382,102.1,3652,ATOKA,OK,"34° 25' 8.30"" N 96° 11' 25.00"" W",8/11/2018,Report Change
KWME,4B54,92.7,31894,WELLINGTON,KS,"37° 20' 8.10"" N 97° 27' 54.20"" W",8/11/2018,Report Change
KTAA,422C,90.7,1247,BIG SANDY,TX,"32° 37' 49.50"" N 94° 53' 43.80"" W",11/14/2018,Report Change
WBHK,580C,98.7,65227,WARRIOR,AL,"33° 29' 4.40"" N 86° 48' 25.00"" W",8/11/2018,Report Change
WRVJ,83B7,91.7,63108,WATERTOWN,NY,"43° 51' 44.20"" N 75° 43' 38.60"" W",11/14/2018,Report Change
WCUG,5BFE,88.5,88005,LUMPKIN,GA,"31° 59' 19.60"" N 84° 55' 58.70"" W",11/14/2018,Report Change
WFOF,634D,90.3,17491,COVINGTON,IN,"40° 9' 8.10"" N 87° 27' 58.00"" W",11/14/2018,Report Change
KOAI,AF35,95.1,16770,SUN CITY WEST,AZ,"34° 14' 5.10"" N 112° 22' 4.60"" W",8/11/2018,Report Change
WADI,54FE,95.3,31412,CORINTH,MS,"34° 55' 47.30"" N 88° 24' 37.20"" W",8/11/2018,Report Change
WSJG-LP,8520,103.3,195786,TIFFIN,OH,"41° 6' 30.00"" N 83° 10' 31.30"" W",10/31/2018,Report Change
WZLQ,97DA,98.5,58828,TUPELO,MS,"34° 10' 5.30"" N 89° 9' 23.20"" W",8/11/2018,Report Change
KTHS-FM,42F4,107.1,35667,BERRYVILLE,AR,"36° 20' 45.20"" N 93° 29' 17.60"" W",8/11/2018,Report Change
KABW,A130,95.1,39159,BAIRD,TX,"32° 17' 6.50"" N 99° 38' 40.30"" W",8/11/2018,Report Change
KVEG,47E2,97.5,83278,MESQUITE,NV,"36° 35' 5.90"" N 114° 36' 4.00"" W",8/11/2018,Report Change
WFOI-LP,6350,100.5,196779,FAYETTE,MS,"31° 42' 34.90"" N 91° 3' 30.70"" W",10/31/2018,Report Change
KLDQ,2D6A,100.7,77951,HARWOOD,ND,"47° 8' 42.90"" N 96° 58' 19.30"" W",11/14/2018,Report Change
WRBV,81BB,101.7,65043,WARNER ROBINS,GA,"32° 38' 20.50"" N 83° 38' 32.70"" W",8/11/2018,Report Change
KHPS,2414,88.9,173349,UVALDE,TX,"29° 21' 37.40"" N 100° 0' 21.00"" W",11/14/2018,Report Change
KBXT,150D,101.9,57802,WIXON VALLEY,TX,"30° 48' 5.70"" N 96° 27' 58.90"" W",8/11/2018,Report Change
KSAB,3F89,99.9,33776,ROBSTOWN,TX,"27° 45' 11.90"" N 97° 38' 15.30"" W",8/11/2018,Report Change
KWLA,4B36,103.1,191486,ANACOCO,LA,"31° 20' 7.10"" N 93° 25' 58.60"" W",8/11/2018,Report Change
WPNC-FM,7D98,95.9,52737,PLYMOUTH,NC,"35° 50' 48.50"" N 76° 45' 20.70"" W",8/11/2018,Report Change
KXTJ-LP,4EB3,96.9,193570,SAN ANTONIO,TX,"29° 29' 8.90"" N 98° 38' 21.70"" W",10/31/2018,Report Change
WSWL-LP,8677,104.7,193936,VALDOSTA,GA,"30° 50' 16.60"" N 83° 17' 45.80"" W",10/31/2018,Report Change
WLRW,7384,94.5,58542,CHAMPAIGN,IL,"40° 7' 35.10"" N 88° 17' 25.20"" W",8/11/2018,Report Change
KYTE,5152,102.7,9848,INDEPENDENCE,OR,"44° 47' 49.40"" N 123° 32' 36.30"" W",8/11/2018,Report Change
KMTZ,31B7,107.7,166087,WALKERVILLE,MT,"46° 0' 23.70"" N 112° 26' 33.10"" W",8/11/2018,Report Change
KEBE-FM,1AAE,95.1,198813,JACKSONVILLE,TX,"31° 58' 53.60"" N 95° 16' 55.80"" W",9/28/2018,Report Change
KZST,53EB,100.1,55430,SANTA ROSA,CA,"38° 25' 6.60"" N 122° 40' 36.90"" W",8/11/2018,Report Change
WMJW,7558,107.5,9024,ROSEDALE,MS,"33° 56' 48.30"" N 90° 50' 58.30"" W",8/11/2018,Report Change
WVBZ,156E,105.7,501,CLEMMONS,NC,"36° 22' 36.90"" N 80° 22' 7.80"" W",5/3/2020,Report Change
WHJG-LP,6814,93.3,126983,ROCKFORD,IL,"42° 15' 23.10"" N 88° 58' 45.40"" W",10/31/2018,Report Change
WLVQ,73E6,96.3,11277,COLUMBUS,OH,"39° 58' 16.20"" N 83° 1' 39.60"" W",8/11/2018,Report Change
WAKO-FM,55BA,103.1,36787,LAWRENCEVILLE,IL,"38° 43' 23.10"" N 87° 39' 13.00"" W",8/11/2018,Report Change
KGBR,A203,92.7,62150,GOLD BEACH,OR,"42° 23' 47.00"" N 124° 21' 53.60"" W",8/11/2018,Report Change
WLKX-FM,72CF,95.9,36404,FOREST LAKE,MN,"45° 17' 39.80"" N 93° 4' 22.70"" W",8/11/2018,Report Change
KEGA-FM3,1B2C,101.5,137538,SALT LAKE CITY,UT,"40° 48' 28.80"" N 111° 53' 25.80"" W",8/11/2018,Report Change
KNWB,3491,97.1,69054,HILO,HI,"19° 47' 2.00"" N 155° 5' 25.00"" W",8/11/2018,Report Change
WWUF,A9CD,97.7,71149,WAYCROSS,GA,"31° 11' 5.80"" N 82° 15' 23.40"" W",8/11/2018,Report Change
KCWG-LP,178A,100.3,133424,CROWN KING,AZ,"34° 13' 48.10"" N 112° 21' 4.50"" W",10/31/2018,Report Change
WJCU,6CB4,88.7,31478,UNIVERSITY HEIGHTS,OH,"41° 29' 24.10"" N 81° 31' 53.40"" W",11/14/2018,Report Change
WMXD,16B1,92.3,59596,DETROIT,MI,"42° 19' 55.10"" N 83° 2' 41.70"" W",5/3/2020,Report Change
KFCV,1D7D,90.5,173766,DIXON,MO,"37° 50' 1.30"" N 92° 0' 59.60"" W",11/14/2018,Report Change
WWTH,A9B5,100.7,61813,OSCODA,MI,"44° 34' 42.00"" N 83° 22' 39.90"" W",8/11/2018,Report Change
WPSC-FM,7E1A,88.7,72703,WAYNE,NJ,"40° 59' 46.40"" N 74° 16' 49.50"" W",11/14/2018,Report Change
WILL-FM,6AF1,90.9,68940,URBANA,IL,"40° 2' 18.10"" N 88° 40' 10.20"" W",11/14/2018,Report Change
KBKL,13B3,107.9,30430,GRAND JUNCTION,CO,"39° 3' 55.90"" N 108° 44' 54.40"" W",8/11/2018,Report Change
WLXZ,7423,90.3,88048,PINEHURST,NC,"35° 9' 13.60"" N 79° 34' 15.10"" W",11/14/2018,Report Change
WHFF-LP,67AB,100.1,193327,HAMMOND,LA,"30° 28' 24.60"" N 90° 24' 57.30"" W",10/31/2018,Report Change
